label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
ZERO,0.584666,0.623386,-1e-06,0.518265,0.595108,-0.034546,0.454743,0.516249,-0.049132,0.424661,0.428044,-0.062997,0.446904,0.3597,-0.068006,0.492281,0.409445,-0.002321,0.478276,0.357805,-0.043031,0.490593,0.441755,-0.058264,0.500338,0.456082,-0.064038,0.543074,0.402898,-0.001487,0.52617,0.356318,-0.044544,0.531609,0.459861,-0.045577,0.538863,0.461956,-0.034766,0.593549,0.407287,-0.010322,0.580366,0.361013,-0.056789,0.577395,0.462074,-0.037001,0.583264,0.4719,-0.010403,0.645434,0.41991,-0.02251,0.630854,0.380571,-0.047718,0.621098,0.450039,-0.032588,0.624075,0.466595,-0.013549
ZERO,0.583445,0.624988,-1e-06,0.517182,0.595433,-0.034772,0.454034,0.516438,-0.04975,0.424109,0.42801,-0.064128,0.444968,0.358848,-0.069637,0.491388,0.408959,-0.00183,0.477361,0.35778,-0.042728,0.489941,0.441145,-0.057649,0.499543,0.456473,-0.06287,0.542389,0.402679,-0.000864,0.525511,0.356641,-0.043868,0.53078,0.460487,-0.04451,0.537524,0.46136,-0.033241,0.593132,0.40706,-0.00968,0.579732,0.36067,-0.056235,0.576583,0.461539,-0.036242,0.582322,0.471034,-0.009351,0.645232,0.419722,-0.021881,0.630434,0.379858,-0.047281,0.62053,0.4496,-0.032073,0.623591,0.466644,-0.01277
ZERO,0.583966,0.623183,-1e-06,0.517391,0.592975,-0.033827,0.455079,0.515303,-0.048311,0.424951,0.427786,-0.0623,0.446039,0.359059,-0.067692,0.493113,0.409794,-0.001572,0.478654,0.357195,-0.042375,0.490841,0.439533,-0.058166,0.500803,0.455744,-0.064132,0.543346,0.403191,-0.000938,0.526452,0.356286,-0.043826,0.531814,0.45872,-0.045668,0.538528,0.462298,-0.035549,0.593311,0.407456,-0.009846,0.580157,0.360486,-0.056086,0.57708,0.460765,-0.036829,0.582342,0.472083,-0.010642,0.644936,0.420341,-0.022027,0.630428,0.379476,-0.047128,0.620601,0.448845,-0.032028,0.623254,0.466708,-0.013003
ZERO,0.583247,0.622674,-1e-06,0.5161,0.593721,-0.034545,0.453787,0.515299,-0.049567,0.424698,0.427138,-0.063955,0.445632,0.358724,-0.069612,0.490785,0.408376,-0.003375,0.476507,0.356297,-0.044625,0.489201,0.439371,-0.059775,0.499077,0.455959,-0.065007,0.541901,0.402442,-0.002446,0.525209,0.355478,-0.045491,0.530609,0.458973,-0.046419,0.537326,0.46181,-0.035478,0.59264,0.406748,-0.011108,0.579643,0.36009,-0.057356,0.576511,0.460889,-0.037416,0.582011,0.472038,-0.010727,0.644666,0.419316,-0.023127,0.630437,0.378454,-0.048239,0.620837,0.447603,-0.032974,0.623757,0.465263,-0.013757
ZERO,0.583263,0.624521,-1e-06,0.516222,0.593409,-0.032996,0.453541,0.514338,-0.046822,0.424388,0.426167,-0.060413,0.44515,0.357657,-0.06544,0.492534,0.410523,0.000634,0.478679,0.358147,-0.039853,0.490285,0.440476,-0.055525,0.499818,0.455105,-0.061437,0.542674,0.4041,0.001024,0.525996,0.355162,-0.041292,0.53093,0.457548,-0.042499,0.538055,0.459498,-0.031843,0.592627,0.407821,-0.008264,0.57971,0.359652,-0.053822,0.57661,0.459226,-0.034132,0.58275,0.469295,-0.007678,0.644213,0.419721,-0.020847,0.629915,0.378292,-0.045122,0.620468,0.446897,-0.029769,0.624043,0.463762,-0.010677
ZERO,0.582404,0.623249,-1e-06,0.51656,0.594882,-0.034403,0.453962,0.515671,-0.049208,0.424257,0.427836,-0.063359,0.445811,0.359574,-0.068826,0.490973,0.408503,-0.002707,0.476943,0.357238,-0.04376,0.489518,0.44048,-0.059539,0.499153,0.455782,-0.065506,0.541563,0.402111,-0.001831,0.525195,0.35614,-0.044543,0.530794,0.458759,-0.045723,0.537604,0.461393,-0.0352,0.591979,0.406662,-0.010578,0.579589,0.360579,-0.056634,0.576443,0.460746,-0.037107,0.581708,0.471478,-0.010843,0.64376,0.419531,-0.022682,0.630315,0.379611,-0.047852,0.620539,0.448547,-0.03296,0.622936,0.465863,-0.014117
ZERO,0.583045,0.623347,-1e-06,0.517087,0.594138,-0.03407,0.454046,0.514983,-0.04844,0.424498,0.427368,-0.062187,0.446285,0.359579,-0.067308,0.491386,0.409102,-0.002426,0.477216,0.35732,-0.043166,0.489579,0.440516,-0.058752,0.499016,0.455477,-0.064625,0.541983,0.402942,-0.001495,0.525554,0.357072,-0.044222,0.531172,0.45952,-0.045539,0.537752,0.46192,-0.035122,0.592424,0.406986,-0.01009,0.579562,0.359968,-0.056249,0.576908,0.460222,-0.036623,0.582565,0.471695,-0.010205,0.644078,0.419302,-0.021987,0.629924,0.378098,-0.047409,0.620716,0.447977,-0.032321,0.623602,0.466668,-0.013183
ZERO,0.583305,0.620564,-1e-06,0.51781,0.593887,-0.034131,0.454732,0.514792,-0.048573,0.425559,0.426435,-0.062258,0.44669,0.358565,-0.066998,0.491746,0.408013,-0.003751,0.477715,0.355573,-0.044405,0.490266,0.439879,-0.059185,0.499484,0.453769,-0.064679,0.542271,0.40191,-0.002951,0.525962,0.355245,-0.045653,0.531213,0.458841,-0.046148,0.537277,0.458882,-0.035336,0.592504,0.406195,-0.011649,0.580362,0.359183,-0.057549,0.577194,0.459628,-0.037111,0.582368,0.468011,-0.010536,0.643958,0.418164,-0.023697,0.630997,0.377817,-0.048809,0.621498,0.447108,-0.033557,0.624076,0.463369,-0.01463
ZERO,0.583309,0.623485,-1e-06,0.517356,0.593172,-0.0334,0.454427,0.515093,-0.047686,0.424988,0.427285,-0.061736,0.44639,0.358678,-0.067149,0.493045,0.409694,0.000279,0.478745,0.356034,-0.040711,0.489767,0.438529,-0.056347,0.499398,0.453778,-0.062012,0.543224,0.403625,0.000762,0.526575,0.354668,-0.041999,0.530882,0.457466,-0.042927,0.538064,0.459035,-0.031831,0.593253,0.407658,-0.008562,0.580427,0.358826,-0.054652,0.576761,0.458749,-0.034771,0.582849,0.468941,-0.007944,0.644923,0.420154,-0.021207,0.630806,0.377802,-0.045976,0.620652,0.447477,-0.030521,0.623734,0.465805,-0.011104
ZERO,0.583181,0.622672,-1e-06,0.517196,0.592641,-0.03358,0.454691,0.514723,-0.047981,0.425288,0.427142,-0.061958,0.447219,0.35895,-0.067359,0.494677,0.409425,-0.001292,0.47984,0.356487,-0.04165,0.490898,0.439043,-0.057062,0.500607,0.454936,-0.062868,0.544769,0.402737,-0.000787,0.527357,0.355167,-0.043396,0.532046,0.4576,-0.04489,0.539206,0.461191,-0.034517,0.594628,0.40694,-0.009803,0.581278,0.35976,-0.055788,0.57784,0.459388,-0.036431,0.583344,0.470435,-0.010247,0.645888,0.41986,-0.022077,0.631486,0.378597,-0.047083,0.621594,0.447667,-0.031955,0.624265,0.465359,-0.012966
ZERO,0.582898,0.624285,-1e-06,0.51685,0.594171,-0.034701,0.454183,0.515151,-0.049621,0.425181,0.427166,-0.063884,0.446565,0.359422,-0.069379,0.492522,0.409355,-0.001974,0.479453,0.358462,-0.042826,0.490823,0.441456,-0.057933,0.499999,0.456816,-0.063294,0.543183,0.403377,-0.001,0.527213,0.355725,-0.043999,0.531416,0.458917,-0.044934,0.538171,0.460652,-0.033843,0.5935,0.407648,-0.009759,0.581141,0.361102,-0.055895,0.57706,0.460791,-0.036063,0.582758,0.470212,-0.009357,0.645101,0.420411,-0.02192,0.631219,0.379508,-0.046696,0.621391,0.448326,-0.031322,0.624613,0.465169,-0.012036
ZERO,0.583539,0.624064,-1e-06,0.516987,0.594598,-0.034639,0.45523,0.516227,-0.049369,0.42652,0.428503,-0.063239,0.445788,0.359415,-0.068315,0.492207,0.410078,-0.003326,0.479719,0.358734,-0.043411,0.491677,0.441633,-0.058002,0.500444,0.457181,-0.063262,0.5428,0.40414,-0.002281,0.527105,0.357301,-0.04456,0.531976,0.460131,-0.045436,0.538309,0.46192,-0.03481,0.593078,0.408515,-0.010717,0.581181,0.362013,-0.056788,0.577685,0.462234,-0.037069,0.582863,0.472364,-0.01077,0.644708,0.421247,-0.022459,0.631287,0.38065,-0.047861,0.621467,0.449926,-0.03281,0.623958,0.467235,-0.013859
ZERO,0.584109,0.624119,-1e-06,0.51776,0.594303,-0.03322,0.455133,0.515622,-0.047377,0.425989,0.428315,-0.061119,0.448087,0.361179,-0.066098,0.493035,0.409182,-0.001256,0.477953,0.357519,-0.042097,0.49037,0.441408,-0.057684,0.500319,0.456012,-0.063535,0.543785,0.403064,-0.000815,0.52653,0.356792,-0.043389,0.53154,0.460186,-0.044329,0.538561,0.461237,-0.033538,0.594183,0.407377,-0.009963,0.580796,0.361764,-0.055503,0.577371,0.462031,-0.035512,0.583264,0.47104,-0.009017,0.645859,0.420002,-0.02243,0.631463,0.380654,-0.04687,0.62164,0.449697,-0.031487,0.625052,0.465819,-0.01236
ZERO,0.585211,0.624446,-1e-06,0.518199,0.593882,-0.033734,0.456756,0.516062,-0.048322,0.427404,0.428108,-0.062577,0.447287,0.359532,-0.068171,0.494624,0.410482,2.6e-05,0.480981,0.359151,-0.040461,0.492109,0.441178,-0.05594,0.501711,0.456928,-0.06165,0.544811,0.40396,0.000743,0.528195,0.356387,-0.041438,0.53269,0.459595,-0.042315,0.539612,0.461411,-0.03148,0.594604,0.408156,-0.008253,0.582001,0.361313,-0.053813,0.578248,0.461248,-0.033625,0.584039,0.47167,-0.006912,0.645986,0.421061,-0.020627,0.632449,0.380077,-0.045154,0.622235,0.449099,-0.029577,0.625026,0.466689,-0.010281
ZERO,0.584722,0.623106,-1e-06,0.518487,0.594047,-0.034486,0.456565,0.515653,-0.049348,0.426954,0.427546,-0.063459,0.449065,0.359442,-0.068683,0.494535,0.409235,-0.00269,0.480119,0.357135,-0.043239,0.492488,0.440525,-0.058274,0.502063,0.455279,-0.063704,0.544867,0.403216,-0.00144,0.528423,0.356919,-0.04366,0.533805,0.459975,-0.044323,0.5402,0.461339,-0.033495,0.594858,0.4078,-0.009765,0.58233,0.360816,-0.055372,0.579213,0.460877,-0.035436,0.584731,0.470709,-0.008973,0.64619,0.420599,-0.021433,0.632817,0.379365,-0.046181,0.623068,0.448493,-0.030946,0.625734,0.466006,-0.011858
ZERO,0.585421,0.623159,-1e-06,0.519414,0.593546,-0.034423,0.456551,0.515282,-0.049171,0.426822,0.427174,-0.063277,0.447867,0.35928,-0.06852,0.493527,0.409421,-0.001721,0.479417,0.357889,-0.042663,0.491757,0.440681,-0.057738,0.501483,0.454598,-0.063116,0.544274,0.403229,-0.00079,0.527774,0.355591,-0.043573,0.533059,0.459421,-0.044017,0.539673,0.460086,-0.032617,0.594542,0.407286,-0.009634,0.581912,0.361271,-0.055885,0.57892,0.461654,-0.035733,0.584741,0.470126,-0.008783,0.646214,0.419603,-0.021845,0.632364,0.379682,-0.046661,0.622943,0.448834,-0.031202,0.626174,0.465,-0.011864
ZERO,0.585527,0.622926,-1e-06,0.519101,0.593928,-0.032255,0.457149,0.515081,-0.045671,0.428406,0.427358,-0.058862,0.4493,0.359491,-0.063366,0.49474,0.410676,9.8e-05,0.481012,0.35729,-0.040179,0.492448,0.440484,-0.055467,0.501728,0.454908,-0.061173,0.544726,0.404487,0.00024,0.528608,0.356732,-0.04143,0.533208,0.459106,-0.042292,0.539496,0.459522,-0.031744,0.59468,0.408198,-0.009127,0.582162,0.360265,-0.053999,0.57908,0.459941,-0.033811,0.584715,0.468852,-0.007444,0.646198,0.419818,-0.021743,0.632424,0.3785,-0.045744,0.622901,0.447987,-0.029986,0.626032,0.464813,-0.010735
ZERO,0.587146,0.625051,-1e-06,0.521044,0.594931,-0.032907,0.458247,0.51651,-0.047211,0.429056,0.428491,-0.061173,0.45024,0.359574,-0.066345,0.496034,0.411445,-0.000528,0.481926,0.359321,-0.041067,0.493354,0.441425,-0.056167,0.502689,0.455068,-0.061689,0.546085,0.405334,-0.000216,0.529368,0.358006,-0.042152,0.53432,0.46049,-0.042386,0.541177,0.459762,-0.031235,0.596086,0.409353,-0.009524,0.583625,0.361393,-0.05484,0.580272,0.460774,-0.034332,0.586106,0.469138,-0.00759,0.64746,0.421481,-0.022127,0.633808,0.380748,-0.046557,0.623953,0.449903,-0.030881,0.627038,0.466386,-0.01156
ZERO,0.588464,0.624277,-1e-06,0.522315,0.596136,-0.033838,0.459304,0.517381,-0.048597,0.429582,0.429147,-0.063,0.450338,0.360486,-0.068633,0.495429,0.41063,-0.000862,0.48177,0.358011,-0.042216,0.49415,0.440782,-0.058017,0.503382,0.455982,-0.063772,0.545852,0.404383,-0.000216,0.529888,0.358259,-0.042558,0.535497,0.461273,-0.04329,0.541215,0.461204,-0.032367,0.596286,0.408536,-0.009367,0.584142,0.362391,-0.054994,0.58137,0.462156,-0.035002,0.586033,0.470171,-0.008557,0.647814,0.420679,-0.021893,0.634562,0.381473,-0.046458,0.624947,0.450698,-0.031084,0.627096,0.466631,-0.011968
ZERO,0.58764,0.626522,-1e-06,0.521742,0.595702,-0.033871,0.459223,0.517299,-0.048753,0.429837,0.429487,-0.063439,0.450126,0.359274,-0.069367,0.497184,0.413531,0.000769,0.483632,0.359494,-0.040338,0.494084,0.442067,-0.05577,0.503631,0.456445,-0.061292,0.546566,0.40755,0.00109,0.530806,0.357955,-0.041713,0.534807,0.460835,-0.042348,0.542042,0.460602,-0.031021,0.596175,0.411571,-0.008598,0.584462,0.362343,-0.054463,0.580625,0.46114,-0.03454,0.58667,0.4686,-0.007899,0.647666,0.42337,-0.021733,0.634409,0.382828,-0.045914,0.624133,0.450904,-0.030601,0.627067,0.466684,-0.011578
ZERO,0.58757,0.626281,-1e-06,0.520757,0.596948,-0.033033,0.458687,0.517799,-0.047132,0.429189,0.430356,-0.060974,0.449705,0.362551,-0.066029,0.496261,0.412249,-0.00048,0.482434,0.359262,-0.041475,0.494347,0.442349,-0.056999,0.503952,0.457942,-0.062568,0.546626,0.406377,-0.000138,0.530281,0.358268,-0.042482,0.535221,0.461418,-0.043202,0.541961,0.462101,-0.032133,0.596985,0.410589,-0.00945,0.584208,0.363025,-0.054655,0.581026,0.462578,-0.034282,0.586849,0.470914,-0.007484,0.648768,0.422905,-0.022103,0.634841,0.38174,-0.046068,0.624982,0.45046,-0.030176,0.628252,0.466724,-0.010639
ZERO,0.585959,0.625756,-1e-06,0.520085,0.597217,-0.034019,0.45765,0.517884,-0.048489,0.428766,0.429435,-0.062469,0.450101,0.360874,-0.067658,0.496177,0.412383,-0.001893,0.482397,0.358545,-0.042763,0.493978,0.442657,-0.058069,0.503667,0.457798,-0.063666,0.546745,0.406694,-0.001202,0.530607,0.35831,-0.043717,0.535028,0.461799,-0.044436,0.541789,0.462995,-0.033514,0.596878,0.411247,-0.010195,0.584251,0.362095,-0.055845,0.580551,0.46256,-0.03573,0.58633,0.472102,-0.009163,0.648419,0.423666,-0.022573,0.634817,0.382137,-0.047137,0.624553,0.451085,-0.031785,0.627394,0.468043,-0.012721
ZERO,0.588147,0.626177,-1e-06,0.521407,0.597148,-0.034761,0.457979,0.518526,-0.049638,0.428588,0.429437,-0.063713,0.449599,0.360336,-0.068849,0.497594,0.41165,-0.001876,0.483602,0.360798,-0.041679,0.494667,0.443656,-0.056117,0.504223,0.455993,-0.061516,0.547708,0.405641,-0.000522,0.530952,0.359516,-0.042348,0.535375,0.463037,-0.04243,0.542465,0.462223,-0.03132,0.597176,0.41012,-0.00887,0.584437,0.363657,-0.054233,0.580603,0.463833,-0.033847,0.586954,0.471755,-0.007264,0.648092,0.422463,-0.020631,0.634031,0.382593,-0.045019,0.62385,0.451767,-0.029668,0.627132,0.467902,-0.010685
ZERO,0.587064,0.627506,-1e-06,0.52099,0.597404,-0.034486,0.458697,0.517877,-0.049265,0.428994,0.430271,-0.063409,0.450037,0.361678,-0.068605,0.496537,0.411166,-0.001017,0.482361,0.361397,-0.041775,0.494303,0.444173,-0.056947,0.504156,0.457509,-0.062472,0.546764,0.405318,-0.000106,0.529862,0.359476,-0.042734,0.534797,0.462663,-0.043346,0.541956,0.462657,-0.032122,0.597063,0.409987,-0.008981,0.584006,0.363859,-0.054887,0.580676,0.463406,-0.034794,0.586786,0.471578,-0.008001,0.648794,0.422849,-0.021274,0.634471,0.383067,-0.045972,0.624487,0.451941,-0.030563,0.627707,0.468042,-0.01126
ZERO,0.587955,0.62621,-1e-06,0.521785,0.597717,-0.035448,0.458899,0.51847,-0.050902,0.428601,0.43031,-0.065509,0.450218,0.36192,-0.070977,0.493887,0.411076,-0.002901,0.480877,0.360093,-0.044264,0.493876,0.443746,-0.059443,0.503173,0.458186,-0.064819,0.545059,0.404694,-0.001459,0.529502,0.358974,-0.044407,0.535202,0.463026,-0.044922,0.541051,0.46252,-0.033687,0.59593,0.408936,-0.009823,0.584385,0.36368,-0.055813,0.581229,0.463683,-0.03556,0.586152,0.471412,-0.008788,0.647664,0.421325,-0.021674,0.63494,0.381962,-0.046372,0.625392,0.45082,-0.030957,0.627787,0.466635,-0.011716
ZERO,0.58798,0.624744,-1e-06,0.521758,0.595854,-0.033385,0.460188,0.516599,-0.047629,0.431291,0.428581,-0.061474,0.451898,0.360047,-0.06651,0.497025,0.411553,-0.001102,0.483642,0.358268,-0.041193,0.495151,0.441531,-0.055766,0.504723,0.456097,-0.061019,0.547218,0.40492,-0.00072,0.531244,0.357075,-0.04259,0.536005,0.460444,-0.042905,0.542466,0.460531,-0.031818,0.597333,0.408815,-0.009905,0.585287,0.360714,-0.055258,0.582126,0.460526,-0.034873,0.587539,0.469359,-0.008286,0.648848,0.420878,-0.022409,0.635441,0.380184,-0.047222,0.625846,0.449748,-0.031719,0.628506,0.466793,-0.012502
ZERO,0.589664,0.622636,-1e-06,0.522637,0.593868,-0.033145,0.460319,0.515342,-0.047189,0.431027,0.427385,-0.060723,0.452199,0.359683,-0.065336,0.497635,0.410379,-0.001635,0.483872,0.357341,-0.042066,0.495607,0.441238,-0.057031,0.504989,0.45541,-0.062502,0.548135,0.404287,-0.001128,0.531539,0.356205,-0.043064,0.536548,0.459673,-0.043292,0.543325,0.459583,-0.032164,0.598396,0.408338,-0.010137,0.585576,0.360981,-0.055177,0.582534,0.460755,-0.034456,0.588609,0.468725,-0.007645,0.649932,0.420399,-0.022451,0.635951,0.380006,-0.046364,0.626457,0.448795,-0.030357,0.630037,0.464687,-0.010918
ZERO,0.591448,0.624239,-1e-06,0.524541,0.59382,-0.033365,0.461847,0.515007,-0.047953,0.432116,0.42749,-0.062205,0.453545,0.359454,-0.067402,0.49852,0.409604,-0.000649,0.483918,0.356948,-0.042009,0.496279,0.440421,-0.057628,0.505742,0.454364,-0.063271,0.549002,0.403698,-5.2e-05,0.532469,0.35665,-0.042364,0.53771,0.460417,-0.042661,0.543626,0.459168,-0.031468,0.599304,0.407735,-0.009209,0.586883,0.359579,-0.054158,0.58341,0.459264,-0.033315,0.588593,0.467439,-0.006446,0.650525,0.419788,-0.021792,0.637389,0.379366,-0.045496,0.626934,0.448232,-0.029558,0.629022,0.464538,-0.010138
ZERO,0.59212,0.623522,-1e-06,0.524964,0.594954,-0.033156,0.462148,0.515461,-0.047102,0.432991,0.427094,-0.060712,0.452385,0.357267,-0.065468,0.499416,0.410061,0.000137,0.485753,0.357091,-0.040318,0.497612,0.440182,-0.055881,0.507013,0.453835,-0.06188,0.54919,0.403924,0.000594,0.533152,0.356523,-0.041675,0.538245,0.459397,-0.042675,0.544795,0.459084,-0.032151,0.598945,0.408049,-0.008617,0.587116,0.35962,-0.053763,0.583761,0.459235,-0.033589,0.589174,0.467118,-0.00725,0.65026,0.41972,-0.021208,0.637452,0.38021,-0.045156,0.62692,0.449025,-0.029676,0.628969,0.46466,-0.010744
